acc,sens,spec,auc,test
0.907280408185659,0.938895594447797,0.904118889559445,0.980834140898928,01
0.907198398222685,0.933775833459044,0.90454065469905,0.979520218863976,02
0.904569217190576,0.933233756534727,0.901702763256161,0.979154445734084,03
0.906157919750153,0.935026138909634,0.903271097834205,0.97993736031872,04
0.906618203437466,0.931331747919144,0.904146848989298,0.978789567459751,05
0.90553776733001,0.937434982909793,0.902348045772032,0.979636738448251,06
0.907481898632341,0.938353082345883,0.904394780260987,0.98057257629094,07
0.906050608060206,0.931013797240552,0.903554289142172,0.978944278630776,08
0.905305308041327,0.9374624173181,0.90208959711365,0.980140544766737,09
0.906303376467212,0.937922741620322,0.903141439951901,0.980355590225557,10
0.905352870813397,0.934808612440191,0.902407296650718,0.979654896123672,11
0.906086885602436,0.936453349282297,0.90305023923445,0.979295260847107,12
0.906486953236731,0.937370139507272,0.903398634609677,0.979897502114728,13
0.907013449527176,0.935301973586586,0.904184597121235,0.979655892712313,14
0.906188172431223,0.93296266878475,0.90351072279587,0.978909603988692,15
