acc,sens,spec,auc
0.9054424754485104,0.9447797223898612,0.9015087507543754,0.9773357228108911
0.9051961765794924,0.9398099260823654,0.901734801629205,0.9753802182663925
0.9049494195125263,0.939058999253174,0.9015384615384615,0.9758574270701275
0.906701065924367,0.9412994772218073,0.9032412247946229,0.9768560689511697
0.9043616906280402,0.9406956004756243,0.9007282996432818,0.9752302512632887
0.902498007268404,0.943676623569624,0.8983801456382821,0.9752526516394051
0.9049320261259665,0.9460026998650067,0.9008249587520624,0.9766415815252435
0.9034874843213175,0.9370125974805039,0.9001349730053989,0.9748815308923818
0.9041983272289947,0.9442273000601323,0.900195429945881,0.9769473004470327
0.9036934807263982,0.945137531940478,0.8995490756049902,0.9761165925243699
0.9052577207481514,0.94063995215311,0.9017194976076555,0.9757857839363796
0.9049586776859504,0.94063995215311,0.9013905502392344,0.9754676069025292
0.9056504492835749,0.9434550311665183,0.9018699910952805,0.9762782946426927
0.9056374698161314,0.9430182519661671,0.9018993916011278,0.9755891080661894
0.9052928009242545,0.9420174741858618,0.9016203335980937,0.9752616364715746
