acc,sens,spec,auc
0.5734640244335535,0.4885210057785413,0.5819633704213026,0.5493983371574422
0.5761212258925782,0.4898469228366136,0.5847497344247954,0.5502254897809598
0.573452919841426,0.49557522123893805,0.5812066220456619,0.5522459027357745
0.572609906337018,0.48663766314481044,0.5811659192825112,0.5506979030509438
0.5727148169896261,0.4928384413984291,0.5806898036381529,0.5505319801517489
0.5741468806402418,0.4742188702478067,0.5841387589263728,0.5425237272581284
0.5762597035991531,0.49224565756823824,0.5846712835005125,0.5506025856856163
0.5737315794679062,0.48447687053710026,0.5826688427760939,0.5527935818042623
0.5728646768560804,0.48851383028598216,0.581255440865564,0.5484404562303459
0.5754837067209776,0.48771384136858476,0.584264243706631,0.5536200963303927
0.5767580570287113,0.48420074349442377,0.5860036205536043,0.5518470734836178
0.5751069940308593,0.49561065763129525,0.5831047893521747,0.552983206056564
0.5724260239348703,0.48608334614793175,0.5810499477790748,0.5472005970921063
0.5750754105686515,0.5004635352286774,0.5824889462048637,0.5575663154646253
0.574673625338338,0.5011494252873563,0.582040440269163,0.5559011600208117
