acc,sens,spec,auc
0.9,0.9666666666666667,0.88,0.971
0.896551724137931,0.9403973509933775,0.8901734104046243,0.9568962217203232
0.895332099527041,0.9230769230769231,0.8931737588652482,0.9700106458750076
0.8973735032831209,0.9267166762839008,0.8952684522084696,0.9684128023734715
0.8969154111681105,0.9242513211978861,0.8954725431398529,0.9676152355235972
0.8999187515464406,0.9250137067184008,0.8988292507864197,0.9702689786125933
0.9026451990244656,0.9274440926182466,0.9016877113220882,0.9725541548408057
0.9035422874617575,0.9361391202688879,0.9024727551698393,0.9758036093518544
0.9051798145761106,0.9540673964370037,0.9033859102866354,0.9815751531367916
0.9028417869452111,0.9598878585292214,0.9010400702915875,0.9830618616114534
