acc,sens,spec,auc
0.8772775724489694,0.907402882970926,0.8753150151472546,0.9750397233019137
0.9241479861490797,0.9548501492020931,0.923119386485112,0.971952804385237
0.9453806388901163,0.8843414680467192,0.9468345211465432,0.9828763410576122
0.8897201968002265,0.9906447766669724,0.8846048355980345,0.9439319791921099
0.9993905297702766,0.9352159468438538,1.0,0.964872238098243
0.999812974868498,0.9843962008141113,0.9999921167353825,0.9971085693578658
0.9996418059211039,0.9720843672456576,0.9999921141865783,0.9821297194783309
0.7538533934916593,0.9391879249048837,0.7471454564335024,0.9161843004705121
0.839947005255148,0.9499733901011176,0.8323257112162034,0.9814517604511256
,,,
