acc,sens,spec,auc
0.9101058868711253,0.03349426674713337,0.9977670488835244,0.5269151369129849
0.909968595290665,0.03228239553477146,0.9977372152662544,0.48257457774152124
0.9108289768483944,0.03241224794622853,0.9986706497386109,0.563951650965101
0.9107203476135515,0.03823749066467513,0.9979686333084391,0.5305251798601277
0.9099691925197276,0.0356718192627824,0.9973989298454221,0.5392004700483259
0.9109282751725908,0.02957348788824491,0.9990637539010254,0.4921483262127728
0.9103317561394657,0.0359982000899955,0.9977651117444127,0.5274672332080111
0.9101816000436277,0.03059388122375525,0.9981403719256149,0.5169632495216614
0.9098835620182584,0.03487672880336741,0.9973842453397475,0.5045952998279919
0.9103480316466939,0.03637456786412145,0.9977453780249511,0.5321634696837219
0.9101647455415398,0.03977272727272727,0.9972039473684211,0.5183456625252542
0.9105861244019139,0.026764354066985647,0.9989683014354067,0.4524977316904089
0.9095766210637092,0.03784505788067676,0.9967497773820124,0.5655746689408194
0.9103319888302823,0.026858584359697284,0.9986793292773408,0.5436383751652927
0.91106939129179,0.035107227958697376,0.9986656076250993,0.48419277500645075
